transport,effective_bus_gbps,usd_per_hour,rate_source_config,ddp_hours,ddp_cost,ddp_evidence,diloco_hours,diloco_cost,diloco_evidence,status,notes
NVLink NV12,151.0,15.92,a100x8_nvlink,0.9381700624999999,14.935667394999998,Measured step time,2.2478993542500003,35.78655771966,Reconstructed step time,measured_step_time,"Rate from cost_inputs.csv row a100x8_nvlink. DiLoCo hours charge section 18's 2.49x token ratio, an estimate: DiLoCo never reached 3.28 inside this corpus."
"A100 PCIe (P2P off, SHM)",2.28964,11.12,a100x8_pcie,2.292935773771768,25.497445804342057,Reconstructed step time,2.2546460874921337,25.071664492912525,Reconstructed step time,reconstructed_upper_bound,"Rate from cost_inputs.csv row a100x8_pcie. DiLoCo hours charge section 18's 2.49x token ratio, an estimate: DiLoCo never reached 3.28 inside this corpus."
Forced TCP/loopback,0.9175103698629398,11.12,a100x8_forced_tcp_torch,3.5283045416666665,39.23,Measured step time,2.2648911219305234,36.05706666113393,Reconstructed step time,measured_step_time,"Rate from cost_inputs.csv row a100x8_forced_tcp_torch. DiLoCo hours charge section 18's 2.49x token ratio, an estimate: DiLoCo never reached 3.28 inside this corpus."
netem nominal 40 Gbit/s,0.6137359961032635,11.12,a100x8_netem40,6.049297971440398,67.26,Reconstructed step time,2.273352771236524,39.92007466291336,Reconstructed step time,reconstructed_upper_bound,"Rate from cost_inputs.csv row a100x8_netem40. DiLoCo hours charge section 18's 2.49x token ratio, an estimate: DiLoCo never reached 3.28 inside this corpus."
netem nominal 10 Gbit/s,0.1560884115595352,11.12,a100x8_netem10,21.09616350477373,234.52,Reconstructed step time,2.348286161592524,41.235904997564724,Reconstructed step time,reconstructed_upper_bound,"Rate from cost_inputs.csv row a100x8_netem10. DiLoCo hours charge section 18's 2.49x token ratio, an estimate: DiLoCo never reached 3.28 inside this corpus."
