transport,effective_bus_gbps,ddp_step_ms_batch480,diloco_step_ms_batch480,diloco_speedup_per_step,ddp_comm_ms_per_step,diloco_comm_ms_per_step,ddp_time_to_3_28_hours,diloco_time_to_3_28_hours,status,source_file,notes
NVLink NV12,151.0,337.775,325.03000000000003,1.0392117650678396,7.509933774834437,0.015019867549668874,0.9381700624999999,2.2478993542500003,measured,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json,"Measured converged DiLoCo run. diloco_time_to_3_28_hours charges section 18's 2.49x token ratio, which is an estimate: DiLoCo never reached 3.28 inside this corpus."
"A100 PCIe (P2P off, SHM)",2.28964,825.5394325010866,326.0055288650022,2.5322866007065166,495.27436627592107,0.9905487325518422,2.292935773771768,2.2546460874921337,reconstructed_upper_bound,out/runpod-pcie/session_out/nccl_tests.txt,"Measured DiLoCo compute plus this transport's all-reduce / H=500. diloco_time_to_3_28_hours charges section 18's 2.49x token ratio, which is an estimate: DiLoCo never reached 3.28 inside this corpus."
Forced TCP/loopback,0.9175103698629398,1270.3166666666666,327.48688679911703,3.8789848322870055,1235.9533333333334,2.471906666666667,3.5283045416666665,2.2648911219305234,reconstructed_upper_bound,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json,"Measured DiLoCo compute plus this transport's all-reduce / H=500. diloco_time_to_3_28_hours charges section 18's 2.49x token ratio, which is an estimate: DiLoCo never reached 3.28 inside this corpus."
netem nominal 40 Gbit/s,0.6137359961032635,2177.9650662251656,328.7103801324504,6.625787312671957,1847.7,3.6954000000000002,6.049297971440398,2.273352771236524,reconstructed_upper_bound,out/prime-diloco/session_out/bench-40gbit-c/20260821T150623Z/results.json,"Measured DiLoCo compute plus this transport's all-reduce / H=500. diloco_time_to_3_28_hours charges section 18's 2.49x token ratio, which is an estimate: DiLoCo never reached 3.28 inside this corpus."
netem nominal 10 Gbit/s,0.1560884115595352,7595.378399558499,339.54520679911707,22.369269974858174,7265.113333333334,14.530226666666668,21.09616350477373,2.348286161592524,reconstructed_upper_bound,out/prime-diloco/session_out/bench-10gbit-c/20260821T151005Z/results.json,"Measured DiLoCo compute plus this transport's all-reduce / H=500. diloco_time_to_3_28_hours charges section 18's 2.49x token ratio, which is an estimate: DiLoCo never reached 3.28 inside this corpus."
