series,step,tokens_billions,train_loss,lr,step_ms,mfu_percent,status,source_file,notes
"DDP (8xA100, NVLink)",230,0.1130496,5.7533,0.00166,311.1,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",240,0.1179648,5.436,0.00174,312.3,79.2,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",250,0.12288,5.4487,0.0018,309.6,79.9,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",260,0.1277952,5.3259,0.0018,310.7,79.6,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",270,0.1327104,5.308,0.0018,310.7,79.6,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",280,0.1376256,5.3175,0.0018,310.6,79.6,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",290,0.1425408,5.2762,0.0018,310.9,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",300,0.147456,5.1488,0.0018,310.6,79.6,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",310,0.1523712,5.1453,0.0018,311.0,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",320,0.1572864,5.1096,0.0018,311.0,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",330,0.1622016,5.0013,0.0018,311.0,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",340,0.1671168,4.876,0.0018,311.3,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",350,0.172032,4.817,0.0018,325.1,76.1,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",360,0.1769472,5.0698,0.0018,311.2,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",370,0.1818624,4.9315,0.0018,310.9,79.6,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",380,0.1867776,4.8337,0.0018,311.6,79.4,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",390,0.1916928,5.212,0.0018,311.4,79.4,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",400,0.196608,4.718,0.0018,311.3,79.4,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",410,0.2015232,4.8263,0.0018,311.8,79.3,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",420,0.2064384,4.9114,0.0018,311.2,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",430,0.2113536,4.8107,0.0018,311.3,79.4,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",440,0.2162688,4.8999,0.0018,311.1,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",450,0.221184,4.6976,0.0018,311.1,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",460,0.2260992,4.5729,0.0018,312.2,79.2,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",470,0.2310144,4.7884,0.0018,312.5,79.2,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",480,0.2359296,4.4419,0.0018,312.0,79.3,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",490,0.2408448,4.5787,0.0018,312.5,79.2,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",500,0.24576,4.5601,0.0018,308.7,80.1,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",510,0.2506752,4.6046,0.0018,311.2,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",520,0.2555904,4.3814,0.0018,311.3,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",530,0.2605056,4.5709,0.0018,311.0,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",540,0.2654208,4.3823,0.0018,311.0,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",550,0.270336,4.1874,0.0018,310.9,79.6,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",560,0.2752512,4.4587,0.0018,311.0,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",570,0.2801664,4.415,0.0018,311.2,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",580,0.2850816,4.4863,0.0018,311.4,79.4,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",590,0.2899968,4.7905,0.0018,311.2,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",600,0.294912,4.2182,0.0018,310.9,79.5,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",610,0.2998272,4.2629,0.0018,311.5,79.4,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",620,0.3047424,4.2313,0.0018,311.8,79.3,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
"DDP (8xA100, NVLink)",630,0.3096576,4.1502,0.0018,311.7,79.4,measured,out/runpod-8gpu/session_out/train.log + out/runpod-8gpu/session_out/train_ext.log,Clean 10000-step trapezoid; the step-8000 checkpoint joins the two logs.
