transport,effective_bus_gbps,step_ms_batch480,comm_ms_batch480,time_to_3_28_hours,step_status,time_status,source_file,notes
NVLink NV12,151.0,337.775,7.509933774834437,0.9381700624999999,measured_step_time,extrapolated_from_measured_step_time,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json,Matched-micro-batch scaling arm; full-run crossing was 0.874 h at micro-batch 60.
"A100 PCIe (P2P off, SHM)",2.28964,825.5394325010866,495.27436627592107,2.292935773771768,reconstructed_upper_bound,extrapolated_from_reconstructed_step_time,out/runpod-pcie/session_out/nccl_tests.txt,"Bandwidth measured on 2x A100 80GB PCIe, host bridge (PHB), no NVLink, RunPod CA-MTL-3 2026-08-22. P2P unavailable on that host (topo -p2p r = CNS), so NCCL staged through host memory via SHM -- this is what the rentable node delivers, not direct PCIe P2P. Step time reconstructed at 8 ranks; an 8-GPU server's ring crosses more bridges, so it is optimistic."
Forced TCP/loopback,0.9175103698629398,1270.3166666666666,1235.9533333333334,3.5283045416666665,measured_step_time,extrapolated_from_measured_step_time,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json,Direct batch-480 step time from out/prime-pcie/session_out/bench-8gpu-socket/20260821T170636Z/results.json replaces the additive reconstruction; the control bench supplies effective bandwidth.
netem nominal 40 Gbit/s,0.6137359961032635,2177.9650662251656,1847.7,6.049297971440398,reconstructed_upper_bound,extrapolated_from_reconstructed_step_time,out/prime-diloco/session_out/bench-40gbit-c/20260821T150623Z/results.json,Nominal rate delivered about 4.9 Gbit/s effective bus bandwidth.
netem nominal 10 Gbit/s,0.1560884115595352,7595.378399558499,7265.113333333334,21.09616350477373,reconstructed_upper_bound,extrapolated_from_reconstructed_step_time,out/prime-diloco/session_out/bench-10gbit-c/20260821T151005Z/results.json,Nominal rate delivered about 1.2 Gbit/s effective bus bandwidth.
